# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
a 	阿	c=28 d=0.00622245 t=228098
a a a a 	啊啊啊啊	c=0 d=0.00142642 t=228098
a bao 	阿寶	c=0 d=1.85389e-116 t=228098
a bo luo 	阿波羅	c=13 d=5.43536e-05 t=228098
a ce 	阿策	c=1 d=4.91895e-07 t=228098
a dou 	阿斗	c=0 d=1.84991e-32 t=228098
a er sa si 	阿爾薩斯	c=2 d=0.054204 t=228098
a fu za 	啊複雜	c=1 d=5.27724e-40 t=228098
a gu si 	啊古寺	c=3 d=6.20713e-21 t=228098
a gu si 	阿古斯	c=3 d=1.17638e-17 t=228098
a ha ha 	啊哈哈	c=21 d=0.00141589 t=228098
a ha ha ha 	啊哈哈哈	c=2 d=0.000137073 t=228098
a hong 	阿訇	c=1 d=4.3177e-33 t=228098
a hu si 	阿胡斯	c=0 d=1.86711e-82 t=228098
a hu si he 	阿胡斯和	c=1 d=1.87647e-81 t=228098
a ji mi de 	阿基米德	c=1 d=9.15176e-17 t=228098
a jiao 	阿嬌	c=0 d=1.30025e-31 t=228098
a kui na 	阿奎那	c=1 d=9.76639e-18 t=228098
a kui na dao 	阿奎那到	c=1 d=9.81534e-17 t=228098
a la xi 	阿拉希	c=8 d=2.58275e-05 t=228098
a lai 	阿來	c=0 d=0.000331267 t=228098
a lai xi 	阿來襲	c=1 d=8.38832e-51 t=228098
a li 	阿里	c=5 d=1.02072e-06 t=228098
a li yun 	阿里暈	c=1 d=8.01239e-41 t=228098
a long 	阿龍	c=2 d=2.21946e-10 t=228098
a na 	啊那	c=1 d=1 t=198415
a na dao li 	啊那道理	c=1 d=1.99229e-21 t=228098
a niu 	阿牛	c=1 d=2.50494e-09 t=228098
a peng 	阿朋	c=168 d=0.851828 t=228098
a peng 	阿鵬	c=18 d=0.0515605 t=228098
a peng e gao 	阿朋惡搞	c=1 d=9.3427e-54 t=228098
a shen lan 	阿什蘭	c=1 d=6.66366e-49 t=228098
a su 	阿蘇	c=0 d=8.27381e-08 t=228098
a su ma 	阿蘇嗎	c=1 d=8.31529e-07 t=228098
a ta men 	啊他們	c=1 d=1 t=205091
a ti 	阿嚏	c=0 d=5.92563e-22 t=228098
a tun 	啊吞	c=1 d=9.04192e-22 t=228098
a yo 	啊唷	c=0 d=1.98986e-37 t=228098
ai 	唉	c=24 d=0.733447 t=228098
ai 	埃	c=0 d=0.1 t=226241
ai 	愛	c=13 d=0.0946485 t=228098
ai 	癌	c=1 d=2.23891e-41 t=228098
ai 	艾	c=8 d=8.00482e-06 t=228098
ai chi 	愛喫	c=1 d=9.73454e-08 t=228098
ai dao de 	挨刀的	c=1 d=9.86191e-102 t=228098
ai de 	愛的	c=1 d=4.07886e-39 t=228098
ai de sa la 	埃德薩拉	c=1 d=1 t=226242
ai guo xin 	愛國心	c=1 d=0.00941925 t=228098
ai hao 	愛好	c=3 d=0.0018734 t=228098
ai hao zhe 	愛好者	c=1 d=4.63156e-34 t=228098
ai he 	愛喝	c=1 d=2.90934e-05 t=228098
ai hui shou 	愛回收	c=1 d=4.80992e-08 t=228098
ai kan 	愛看	c=1 d=1.89269e-94 t=228098
ai lu en 	艾露恩	c=4 d=1.97581e-33 t=228098
ai lun 	艾倫	c=0 d=6.77265e-35 t=228098
ai lun en 	艾倫恩	c=1 d=6.8066e-34 t=228098
